"Add","إضافة",""
"Add Some Products to get Started","أضف بعض المنتجات للبدء",""
"Add to Cart","إضافة إلى السلة",""
"All Categories","كل الفئات",""
"All Customers","كل العملاء",""
"All Invoices","كل الفواتير",""
"All Products","كل المنتجات",""
"All Suppliers","كل الموردين",""
"All Warehouses","كل المستودعات",""
"Average Invoice","متوسط الفاتورة",""
"Back","رجوع",""
"Cancel","إلغاء",""
"Cash","نقد",""
"Cheque","شيك",""
"Close","إغلاق",""
"Closed","مغلقة",""
"Close Shift","إغلاق الوردية",""
"Copy","نسخ",""
"Create Customer","عميل جديد",""
"Credit","آجل",""
"Customer","عميل",""
"Can not reduce Quantity below 1 Quantity","لا يمكن تقليل الكمية أقل من واحد",""
"Closing Balance","رصيد الإغلاق",""
"Dashboard","لوحة التحكم",""
"Debit","الدين",""
"Delete","حذف",""
"Discount","خصم",""
"Done","تم",""
"Draft","مسودة",""
"Duplicate","تكرار",""
"Decrease  Quantity","تقليل الكمية",""
"Edit","تعديل",""
"Empty Cart","السلة فارغة",""
"Gift Card","كرت هدية",""
"Hold Invoice","تعليق الفاتورة",""
"In Cart","في السلة",""
"Inactive","غير نشط",""
"Inventory","المخزون",""
"Invoice","فاتورة",""
"Invoice Date","تاريخ الفاتورة",""
"Invoice Number","رقم الفاتورة",""
"Invoices","فواتير",""
Increase  Quantity,"زيادة الكمية",""
"Loading products","جار تحميل المنتجات",""
"Logout","تسجيل الخروج",""
"Manual Mode","الوضع اليدوي",""
"New","جديد",""
"No results","لا توجد نتائج",""
"Results","نتائج",""
"Opening Balance","الرصيد الافتتاحي",""
"Open Shift","فتح وردية",""
"open","مفتوحة",""
"Out of Stock","خارج المخزون",""
"Paid","مدفوع",""
"Partial","جزئي",""
"Payment","دفع",""
"Pending","معلق",""
"Price","سعر",""
"Overdue","متأخر",""
"Price List","قائمة الأسعار",""
"Product","منتج",""
"Product Found","تم العثور على المنتج",""
"Products","منتجات",""
"Quantity","كمية",""
"Refunded","تم الاسترداد",""
"Reload","إعادة تحميل",""
"Remove","حذف",""
"Remove this {0} from cart?","هل تريد إزالة {0} من السلة؟",""
"Reports","التقارير",""
"Returned","تم العودة",""
"Save","حفظ",""
"Subtotal","المجموع الفرعي",""
"Selected","مختار",""
"Scan","ماسح",""
"Scanner Mode","وضع الاسكنر",""
"Search","بحث",""
"Search by product name or barcode","ابحث باسم المنتج أو الباركود",""
"Search products","بحث منتجات",""
"Select Invoice","اختر فاتورة",""
"Select Invoice for Return","اختر فاتورة المرتجع",""
"Settings","الإعدادات",""
"Shift","وردية",""
"Shipped","تم الشحن",""
"Submit","تسليم",""
"Supplier","المورد",""
"Sales Invoices","فواتير المبيعات",""
"Tax","ضريبة",""
"There are no products","لا توجد منتجات",""
"Total","الإجمالي",""
"Total Sales","إجمالي المبيعات",""
"Total Return","إجمالي المرتجع",""
"Transactions","المعاملات",""
"Use The Scanner or type Mannually","استخدم الماسح أو اكتب يدويا",""
"Warehouse","المستودع",""
"Select an invoice and load items","اختر فاتورة وتحميل العناصر",""
"Add some products to get started","أضف بعض المنتجات للبدء",""
"NO ITEMS SELECTED","لم يتم تحديد أي عنصر",""
"CART EMPTY","السلة فارغة",""
"Are you sure you want to clear the cart?","هل أنت متأكد من حذف السلة؟",""
"Are you sure you want to clear the Invoice?","هل أنت متأكد من حذف الفاتورة؟",""
"Invoice {0} created successfully","تم إصدار الفاتورة {0} بنجاح",""
"{0} added to cart","أضيف للسلة: {0}",""
"{0} ({1}) added to cart","أضيف للسلة: {0} ({1})",""
"You cannot return more than original quantity","لا يمكنك إعادة العودة أكثر من الكمية الأصلية",""
"Create New Customer","إنشاء عميل جديد",""
"Exact","تام",""
"Clear","مسح",""
"Last transaction: {0}","آخر معاملة: {0}",""
"Payment Method","طريقة الدفع",""
"Insufficient","غير كافي",""
"Needed","مطلوب",""
"Partial Payment","دفع جزئي",""
"Confirm partial payment","تأكيد دفع جزئي",""
"Exact Amount","المبلغ الدقيق",""
"Process Sales Return","إعادة مرتجع المبيعات",""
"Confirm Return","تأكيد المرتجع",""
"PROCESSING","معالجة",""
"ADD ITEMS TO CART","أضف المنتجات للسلة",""
"NEED {0} MORE","تحتاج إلى {0} أكثر",""
"COMPLETE SALE","أكمل المبيعات",""
"Shift Active","وردية نشطة",""
"Shift Inactive","وردية غير نشطة",""
"Draft Invoices","الفواتير المسودة",""
"Scanner Mode Activated","وضع الباسح مفعل",""
"Manual Mode Activated","وضع البحث اليدوي مفعل",""
"Use the scanner or type manually","استخدم الماسح أو اكتب يدويا",""
"Search by product name Serial No Barcode.","ابحث باسم المنتج Serial No Barcode.",""
"Turn on scanner","تشغيل الاسكنر",""
"Notifications","التنبيهات",""
"Messages","الرسائل",""
"View","عرض",""
"View All Notifications","عرض جميع التنبيهات",""
"View All Messages","عرض جميع الرسائل",""
"Profile","الملف الشخصي",""
"Help & Support","المساعدة والدعم",""
"Toggle Theme","تغيير الثيم",""
"Shifts List","قائمة الورديات",""
"Shift Detail","تفاصيل الوردة",""
"Shifts Dashboard","لوحة التحكم الوردات",""
"Inventory Dashboard","لوحة التحكم على المخزون",""
"Inventory","المخزون",""
"Inventory Tracking","تتبع المخزون",""
"Inventory Balance","رصيد المخزون",""
"Inventory Transfer","نقل المخزون",""
"Inventory Barcodes","باركود المخزون",""
"Shifts","الوردات",""
"Shifts Management","إدارة الوردات",""
"Archive","الأرشيف",""
"Suppliers Invoices","فواتير الموردين",""
"Customers Invoices","فواتير العملاء",""
"Sales Analytics","تحليلات المبيعات",""
"Accounting","المحاسبة",""
"Accounting Dashboard","لوحة التحكم على المحاسبة",""
"Accounting Reports","تقارير المحاسبة",""
"Promotions","الترويجات",""
"Promotions Dashboard","لوحة التحكم على الترويجات",""
"Coupons","القسائم",""
"Coupons List","قائمة القسائم",""
"Discount Rules","قواعد الخصم",""
"Loyalty Program","برنامج الاستثمار",""
"Expenses","المصاريف",""
"Income Statement","بيان الدخل",""
"Accounts Payable","المدفوعات",""
"Accounts Receivable","المستحقات",""
"Balance Sheet","الرصيد الافتتاحي",""
"Cash Flow Statement","بيان الدخل والخروج",""
"Reports","التقارير",""
"Reports Dashboard","لوحة التحكم على التقارير",""
"Print","طباعة",""
"Shift","الوردية",""
"Total Quantity","إجمالي الكميات",""
"Item Sold","صنف مباع",""
"Returns","المرتجعات",""
"Cash Difference","الفارق النقدي",""
"Balanced","متوازن",""
"Surplus","فائض",""
"Deficit","عجز",""
"Payment Methods Distribution","توزيع طرق الدفع",""
"No Payments Found","لا توجد مدفوعات",""
"Sales by Hour","المبيعات حسب الساعة",""
"Cashier Performance","أداء الكاشير",""
"Payments","المدفوعات",""
"Reconciliation Issues","مشاكل التسوية",""
"All Statuses","كل الحالات",""
"Paid","مدفوع",""
"Returned","مرتجع",""
"Draft","مسودة",""
"Credit Note Issued","إشعار دائن مطابق",""
"Partially Paid","جزئي الدفع",""
"Unpaid","غير مدفوع",""
"All Payment Methods","كل طرق الدفع",""
"Newest First","الأحدث أولاً",""
"Oldest First","الأقدم أولاً",""
"Highest Value","الأعلى قيمة",""
"Lowest Value","الأقل قيمة",""
"Export","تصدير",""
"Invoice","فاتورة",""
"Date & Time","التاريخ والوقت",""
"Customer","عميل",""
"Total","الإجمالي",""
"Quantity","كمية",""
"Payment","دفع",""
"Cashier","كاشير",""
"Status","الحالة",""
"Actions","المعالجات",""
"No Matching Results","لا توجد نتائج مطابقة",""
"Total ({0}) Invoices","الإجمالي ({0}) فاتورة",""
"In","وارد",""
"Out","صادر",""
"Search Transactions","بحث في المعاملات",""
"Search by invoice,customer,cashier","بحث بالفاتورة، العميل، الكاشير",""
"Search Payment Methods","بحث في طرق الدفع",""
"No Data","لا توجد بيانات",""
"There are {0} invoices with payment discrepancies","يوجد {0} فاتورة بها فروقات في الدفع",""
"Description","الوصف",""
"Payment Method","طريقة الدفع",""
"Amount","المبلغ",""
"Date","التاريخ",""
"By","بواسطة",""
"Overpaid","دفع زائد",""
"Underpaid","دفع ناقص",""
"Return","مرتجع",""
"Paid","مدفوع",""
"Unpaid","غير مدفوع",""
"Partially Paid","جزئي الدفع",""
"Cancelled","ملغي",""
"Credit Note Issued","إشعار دائن مطابق",""
"No Shift Data Available","لا توجد بيانات للوردية",""
"No Transactions Found","لا توجد معاملات",""
"Net","الصافي",""
"Unknown Customer","زبون عادي",""
"Unallocated payments ({0})","دفعات غير مخصصة لأي فاتورة ({0})",""
"Unallocated","غير مخصصة",""
"No discrepancies,all payments are matched","لا توجد فروقات، كل الدفعات متطابقة",""
"Now","الآن",""
"Loading...","جاري التحميل...",""
"Item","المنتج",""
"Total Inbound","إجمالي الوارد",""
"Total Outbound","إجمالي الصادر",""
"Net Change","التغيير الصافي",""
"Items","العناصر",""
"SKU / barcode / item name...","وحدة حفظ المخزون (SKU) / الباركود / اسم المنتج...",""
"All Items","كل المنتجات",""
"All Types","كل الأنواع",""
"Purchase","شراء",""
"Transfer","نقل",""
"Adjustment","تعديل",""
"Sale","بيع",""
"From Date","من تاريخ",""
"To Date","إلى تاريخ",""
"records","سجلات",""
"Clear Filters","مسح الفلاتر",""
"Tracking Records","تتبع السجلات",""
"No Tracking Records Found","لم يتم العثور على سجلات تتبع",""
"Try adjusting your filters","حاول تعديل الفلاتر الخاص بك",""
"No Items Found","لم يتم العثور على عناصر",""
"Showing","يعرض",""
"of","من",""
"Previous","السابق",""
